Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.86     0.00       23     0.00     0.00  caml_alloc_sprintf
  0.00      2.86     0.00       23     0.00     0.00  caml_fresh_oo_id
  0.00      2.86     0.00       22     0.00     0.00  camlPervasives__string_of_int_1150
  0.00      2.86     0.00       22     0.00     0.00  caml_format_int
  0.00      2.86     0.00       22     0.00     0.00  parse_format
  0.00      2.86     0.00       21     0.00     0.00  camlVmr0__print_rcd_ptn_1926
  0.00      2.86     0.00       20     0.00     0.00  caml_alloc_custom
  0.00      2.86     0.00       17     0.00     0.00  camlVmr0__print_reg_2161
  0.00      2.86     0.00       17     0.00     0.00  camlVmr0__print_reg_2311
  0.00      2.86     0.00       16     0.00     0.00  caml_enter_blocking_section
  0.00      2.86     0.00       16     0.00     0.00  caml_leave_blocking_section
  0.00      2.86     0.00       15     0.00     0.00  camlMap__Make_1243
  0.00      2.86     0.00       15     0.00     0.00  camlMap__fun_2919
  0.00      2.86     0.00       10     0.00     0.00  camlVmr0__fun_4930
  0.00      2.86     0.00        9     0.00     0.00  caml_flush
  0.00      2.86     0.00        9     0.00     0.00  caml_flush_partial
  0.00      2.86     0.00        9     0.00     0.00  caml_ml_flush
  0.00      2.86     0.00        8     0.00     0.00  caml_putblock
  0.00      2.86     0.00        8     0.00     0.00  caml_stat_free
  0.00      2.86     0.00        8     0.00     0.00  caml_string_is_c_safe
  0.00      2.86     0.00        7     0.00     0.00  camlPervasives__output_string_1213
  0.00      2.86     0.00        7     0.00     0.00  camlTypes__psgn_3764
  0.00      2.86     0.00        7     0.00     0.00  camlVmr0__print_nd_2309
  0.00      2.86     0.00        7     0.00     0.00  caml_alloc_channel
  0.00      2.86     0.00        7     0.00     0.00  caml_ml_output
  0.00      2.86     0.00        7     0.00     0.00  caml_ml_output_bytes
  0.00      2.86     0.00        7     0.00     0.00  writecode8
