Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.32     0.00      538     0.00     0.00  camlScanf__k_5033
  0.00      0.32     0.00      538     0.00     0.00  camlScanf__kscanf_5019
  0.00      0.32     0.00      538     0.00     0.00  camlScanf__pad_prec_scanf_1954
  0.00      0.32     0.00      538     0.00     0.00  camlScanf__scan_2119
  0.00      0.32     0.00      538     0.00     0.00  camlScanf__scan_caml_string_1714
  0.00      0.32     0.00      538     0.00     0.00  camlScanf__take_format_readers_1762
  0.00      0.32     0.00      538     0.00     0.00  camlScanf__token_1354
  0.00      0.32     0.00      538     0.00     0.01  camlScanf__unescaped_5075
  0.00      0.32     0.00      538     0.00     0.00  caml_curry2
  0.00      0.32     0.00      538     0.00     0.00  caml_curry2_1
  0.00      0.32     0.00      510     0.00     0.00  camlImp_parser___menhir_goto_typ_3181
  0.00      0.32     0.00      481     0.00     0.00  camlImp_parser___menhir_goto_grm_atom_3168
  0.00      0.32     0.00      481     0.00     0.00  camlImp_parser___menhir_goto_grm_ptn_3127
  0.00      0.32     0.00      469     0.00     0.00  camlImp_parser___menhir_run7_3219
  0.00      0.32     0.00      417     0.00     0.00  caml_alloc_small_with_my_or_given_profinfo
  0.00      0.32     0.00      416     0.00     0.00  caml_make_vect
  0.00      0.32     0.00      375     0.00     0.00  caml_string_length
  0.00      0.32     0.00      372     0.00     0.00  camlImp_parser___menhir_goto_coprd_ptn_3153
  0.00      0.32     0.00      372     0.00     0.00  camlImp_parser___menhir_run109_3208
  0.00      0.32     0.00      361     0.00     0.00  parse_sign_and_base
  0.00      0.32     0.00      331     0.00     0.00  camlImp_parser___menhir_goto_grm_ptns_3087
  0.00      0.32     0.00      330     0.00     0.00  camlLang__newvar_1963
  0.00      0.32     0.00      321     0.00     0.00  camlImp_parser___menhir_run197_3120
  0.00      0.32     0.00      320     0.00     0.00  camlImp_parser__fun_12792
  0.00      0.32     0.00      320     0.00     0.00  caml_tuplify4
  0.00      0.32     0.00      319     0.00     0.00  camlImp_parser___menhir_goto_ir_ptn_eq_3085
  0.00      0.32     0.00      291     0.00     0.00  camlImp_parser___menhir_goto_mtc_ir_test_3129
  0.00      0.32     0.00      289     0.00     0.00  camlChar__chr_1206
  0.00      0.32     0.00      273     0.00     0.00  camlImp_parser___menhir_run122_3209
  0.00      0.32     0.00      268     0.00     0.00  camlImp_parser___menhir_goto_coprd_ptn_end_3152
  0.00      0.32     0.00      268     0.00     0.00  camlImp_parser___menhir_run108_3207
  0.00      0.32     0.00      265     0.00     0.00  camlImp_parser___menhir_goto_grm_prd_3080
  0.00      0.32     0.00      256     0.00     0.00  camlChar__lowercase_1217
  0.00      0.32     0.00      248     0.00     0.00  camlPervasives__$40_1166
  0.00      0.32     0.00      238     0.00     0.00  caml_int_of_string
  0.00      0.32     0.00      238     0.00     0.00  parse_intnat
  0.00      0.32     0.00      234     0.00     0.00  camlImp_parser___menhir_goto_reg_dst_3121
  0.00      0.32     0.00      234     0.00     0.00  camlImp_parser___menhir_goto_src_par_p_3111
  0.00      0.32     0.00      232     0.00     0.00  camlImp_parser___menhir_run144_3156
  0.00      0.32     0.00      231     0.00     0.01  camlImp_parser___menhir_run192_3119
  0.00      0.32     0.00      226     0.00     0.00  camlImp_parser___menhir_goto_typs_3148
  0.00      0.32     0.00      223     0.00     0.00  camlScanf__scan_backslash_char_1681
  0.00      0.32     0.00      222     0.00     0.00  camlImp_parser___menhir_goto_nls_3128
  0.00      0.32     0.00      210     0.00     0.00  camlScanf__scan_backslash_1719
  0.00      0.32     0.00      205     0.00     0.00  camlImp_parser___menhir_run127_3177
  0.00      0.32     0.00      203     0.00     0.00  camlImp_parser___menhir_run77_3140
  0.00      0.32     0.00      193     0.00     0.00  camlImp_parser___menhir_run85_3201
  0.00      0.32     0.00      178     0.00     0.00  camlImp_parser___menhir_run130_3180
  0.00      0.32     0.00      165     0.00     0.00  camlImp_parser___menhir_goto_typ_def_3138
  0.00      0.32     0.00      160     0.00     0.00  camlImp_parser___menhir_goto_exp_3183
  0.00      0.32     0.00      160     0.00     0.00  camlImp_parser___menhir_run91_3171
  0.00      0.32     0.00      159     0.00     0.00  camlImp_parser___menhir_goto_ord_3123
  0.00      0.32     0.00      157     0.00     0.00  camlImp_parser___menhir_goto_grm_rule_act_3092
  0.00      0.32     0.00      156     0.00     0.00  caml_apply2
  0.00      0.32     0.00      154     0.00     0.01  camlImp_parser___menhir_run41_3232
  0.00      0.32     0.00      153     0.00     0.00  camlImp_parser___menhir_goto_glb_etr_3211
  0.00      0.32     0.00      149     0.00     0.00  camlImp_parser___menhir_run61_3194
  0.00      0.32     0.00      147     0.00     0.00  camlLang__fun_8409
  0.00      0.32     0.00      145     0.00     0.00  camlImp_parser___menhir_run325_3073
  0.00      0.32     0.00      142     0.00     0.00  caml_alloc_custom
  0.00      0.32     0.00      140     0.00     0.00  camlArray__map_1261
  0.00      0.32     0.00      140     0.00     0.00  camlImp_parser___menhir_goto_id_line_3097
  0.00      0.32     0.00      140     0.00     0.00  camlImp_parser___menhir_goto_id_mtc_3095
  0.00      0.32     0.00      128     0.00     0.00  camlImp_parser___menhir_goto_mtc_ir_end_3096
  0.00      0.32     0.00      127     0.00     0.01  camlImp_parser___menhir_run369_3134
  0.00      0.32     0.00      124     0.00     0.97  caml_page_table_add
  0.00      0.32     0.00      123     0.00     0.00  caml_copy_int64
  0.00      0.32     0.00      123     0.00     0.00  caml_int64_of_string
  0.00      0.32     0.00      113     0.00     0.00  camlImp_parser___menhir_goto_s8_ptn_3132
  0.00      0.32     0.00      106     0.00     0.00  camlImp_parser___menhir_goto_ord_end_3122
  0.00      0.32     0.00      105     0.00     0.00  caml_stat_alloc
  0.00      0.32     0.00      104     0.00     0.00  camlImp_parser___menhir_goto_grm_ord_act_3084
  0.00      0.32     0.00      101     0.00     0.00  camlImp_parser___menhir_run2_3221
  0.00      0.32     0.00      100     0.00     0.00  camlImp_parser___menhir_run309_3075
  0.00      0.32     0.00      100     0.00     0.01  camlImp_parser___menhir_run42_3187
  0.00      0.32     0.00       90     0.00     0.00  camlImp_parser___menhir_goto_grm_etr_3079
  0.00      0.32     0.00       90     0.00     0.01  camlImp_parser___menhir_run257_3212
  0.00      0.32     0.00       79     0.00     0.00  camlImp_parser___menhir_run68_3199
  0.00      0.32     0.00       79     0.00     0.00  camlLang__rcd_cl_2057
  0.00      0.32     0.00       79     0.00     0.00  camlList__fold_right_1292
  0.00      0.32     0.00       76     0.00     0.00  camlImp_parser___menhir_goto_def_arg_3163
  0.00      0.32     0.00       76     0.00     0.00  camlImp_parser___menhir_goto_def_typ_body_3135
  0.00      0.32     0.00       76     0.00     0.00  camlImp_parser___menhir_run352_3215
  0.00      0.32     0.00       66     0.00     0.00  camlImp_parser___menhir_run280_3082
  0.00      0.32     0.00       65     0.00     0.00  camlImp_parser___menhir_run199_3107
  0.00      0.32     0.00       65     0.00     0.00  caml_clip_heap_chunk_wsz
  0.00      0.32     0.00       63     0.00     0.01  camlImp_parser___menhir_run350_3214
  0.00      0.32     0.00       60     0.00     0.01  camlImp_parser___menhir_run184_3117
  0.00      0.32     0.00       56     0.00     0.00  caml_process_pending_signals
  0.00      0.32     0.00       54     0.00     0.00  camlLang__newvar_q_1969
  0.00      0.32     0.00       52     0.00     0.00  camlImp_parser___menhir_goto_regs_3083
  0.00      0.32     0.00       52     0.00     0.00  camlImp_parser___menhir_run111_3089
