Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.80     0.00        8     0.00     0.00  caml_ml_flush
  0.00      4.80     0.00        8     0.00     0.00  caml_stat_free
  0.00      4.80     0.00        8     0.00     0.00  caml_string_is_c_safe
  0.00      4.80     0.00        7     0.00     0.00  camlTypes__psgn_1541
  0.00      4.80     0.00        7     0.00     0.00  caml_alloc_channel
  0.00      4.80     0.00        7     0.00     0.00  caml_putblock
  0.00      4.80     0.00        6     0.00     0.00  camlPervasives__output_string_1213
  0.00      4.80     0.00        6     0.00     0.00  camlWeak__create_1352
  0.00      4.80     0.00        6     0.00     0.00  caml_alloc_sprintf
  0.00      4.80     0.00        6     0.00     0.00  caml_insert_global_root
  0.00      4.80     0.00        6     0.00     0.00  caml_int64_float_of_bits_unboxed
  0.00      4.80     0.00        6     0.00     0.00  caml_ml_output
  0.00      4.80     0.00        6     0.00     0.00  caml_ml_output_bytes
  0.00      4.80     0.00        6     0.00     0.00  caml_register_global_root
  0.00      4.80     0.00        6     0.00     0.00  caml_secure_getenv
  0.00      4.80     0.00        5     0.00     0.00  camlPervasives__string_of_int_1150
  0.00      4.80     0.00        5     0.00     0.00  camlUtil__pnt_1204
  0.00      4.80     0.00        5     0.00     0.00  caml_adjust_gc_speed
  0.00      4.80     0.00        5     0.00     0.00  caml_alloc
  0.00      4.80     0.00        5     0.00     0.00  caml_ephe_create
  0.00      4.80     0.00        5     0.00     0.00  caml_format_int
  0.00      4.80     0.00        5     0.00     0.00  caml_open_descriptor_in
  0.00      4.80     0.00        5     0.00     0.00  caml_register_custom_operations
  0.00      4.80     0.00        5     0.00     0.00  caml_weak_create
  0.00      4.80     0.00        5     0.00     0.00  caml_write_fd
  0.00      4.80     0.00        5     0.00     0.00  parse_format
  0.00      4.80     0.00        4     0.00     0.00  alloc_generic_table
  0.00      4.80     0.00        4     0.00     0.00  camlList__iter_1272
  0.00      4.80     0.00        4     0.00     0.00  camlTypes__$2a$7c_1599
  0.00      4.80     0.00        4     0.00     0.00  camlTypes__fun_2800
  0.00      4.80     0.00        4     0.00     0.00  caml_alloc_dummy
  0.00      4.80     0.00        4     0.00     0.00  caml_final_register
  0.00      4.80     0.00        4     0.00     0.00  caml_make_free_blocks
  0.00      4.80     0.00        4     0.00     0.00  caml_register_named_value
  0.00      4.80     0.00        4     0.00     0.00  caml_strdup
  0.00      4.80     0.00        4     0.00     0.00  generic_final_register
  0.00      4.80     0.00        3     0.00     0.00  camlArray__blit_1246
  0.00      4.80     0.00        3     0.00     0.00  camlList__fold_right_1292
  0.00      4.80     0.00        3     0.00     0.00  camlPervasives__min_1027
  0.00      4.80     0.00        3     0.00     0.00  camlSet__Make_1245
  0.00      4.80     0.00        3     0.00     0.00  camlSet__fun_2940
  0.00      4.80     0.00        3     0.00     0.00  camlWeak__add_1431
  0.00      4.80     0.00        3     0.00     0.00  camlWeak__add_aux_1403
  0.00      4.80     0.00        3     0.00     0.00  camlWeak__fun_1843
  0.00      4.80     0.00        3     0.00     0.01  camlWeak__loop_1425
  0.00      4.80     0.00        3     0.00     0.00  caml_aligned_malloc
  0.00      4.80     0.00        3     0.00     0.00  caml_array_blit
  0.00      4.80     0.00        3     0.00     0.00  caml_convert_flag_list
  0.00      4.80     0.00        3     0.00     0.00  caml_enter_blocking_section_default
  0.00      4.80     0.00        3     0.00     0.00  caml_ephe_blit_key
  0.00      4.80     0.00        3     0.00     0.00  caml_ephe_set_key_option
  0.00      4.80     0.00        3     0.00     0.00  caml_int_of_string
  0.00      4.80     0.00        3     0.00     0.00  caml_leave_blocking_section_default
  0.00      4.80     0.00        3     0.00     0.00  caml_lessequal
  0.00      4.80     0.00        3     0.00     0.00  caml_ml_open_descriptor_out
  0.00      4.80     0.00        3     0.00     0.00  caml_open_descriptor_out
  0.00      4.80     0.00        3     0.00     0.00  caml_weak_blit
  0.00      4.80     0.00        3     0.00     0.00  caml_weak_set
  0.00      4.80     0.00        3     0.00     0.00  do_set
  0.00      4.80     0.00        3     0.00     0.00  intern_rec
  0.00      4.80     0.00        3     0.00     0.00  parse_intnat
  0.00      4.80     0.00        3     0.00     0.00  parse_sign_and_base
  0.00      4.80     0.00        2     0.00     0.00  camlBytes__make_1216
  0.00      4.80     0.00        2     0.00     0.00  camlPrint__print_tkn_s_2245
  0.00      4.80     0.00        2     0.00     0.00  camlSys__set_signal_1250
  0.00      4.80     0.00        2     0.00     0.00  camlTypes__$2a$2a_1588
  0.00      4.80     0.00        2     0.00     0.00  camlTypes__coprd_cl_1612
  0.00      4.80     0.00        2     0.00     0.00  camlTypes__fun_2782
  0.00      4.80     0.00        2     0.00     0.00  camlWeak__Make_1293
  0.00      4.80     0.00        2     0.00     0.00  caml_alloc_for_heap
  0.00      4.80     0.00        2     0.00     0.00  caml_channel_binary_mode
  0.00      4.80     0.00        2     0.00     0.00  caml_convert_signal_number
  0.00      4.80     0.00        2     0.00     0.00  caml_copy_string
  0.00      4.80     0.00        2     0.00     0.00  caml_cplugins_load
  0.00      4.80     0.00        2     0.00     0.00  caml_fill_bytes
  0.00      4.80     0.00        2     0.00     0.00  caml_final_invert_finalisable_values
  0.00      4.80     0.00        2     0.00     0.00  caml_fl_reset
  0.00      4.80     0.00        2     0.00     0.00  caml_getblock
  0.00      4.80     0.00        2     0.00     0.00  caml_install_signal_handler
  0.00      4.80     0.00        2     0.00     0.00  caml_ml_close_channel
  0.00      4.80     0.00        2     0.00     0.00  caml_ml_open_descriptor_in
  0.00      4.80     0.00        2     0.00     0.00  caml_ml_set_channel_name
  0.00      4.80     0.00        2     0.00     0.00  caml_obj_block
  0.00      4.80     0.00        2     0.00     0.00  caml_raise
  0.00      4.80     0.00        2     0.00     0.00  caml_raise_constant
  0.00      4.80     0.00        2     0.00     0.00  caml_raise_not_found
  0.00      4.80     0.00        2     0.00     0.00  caml_really_getblock
  0.00      4.80     0.00        2     0.00     0.00  caml_really_putblock
  0.00      4.80     0.00        2     0.00     0.00  caml_set_signal_action
  0.00      4.80     0.00        2     0.00     0.00  caml_sys_check_path
  0.00      4.80     0.00        2     0.00     0.00  caml_sys_getenv
  0.00      4.80     0.00        2     0.00     0.00  caml_sys_open
  0.00      4.80     0.00        2     0.00     0.00  caml_sys_time_include_children_unboxed
  0.00      4.80     0.00        2     0.00     0.00  caml_sys_time_unboxed
  0.00      4.80     0.00        2     0.00     0.00  do_compaction
  0.00      4.80     0.00        1     0.00     0.00  camlArrayLabels__entry
  0.00      4.80     0.00        1     0.00     0.00  camlArray__entry
  0.00      4.80     0.00        1     0.00     0.00  camlBuffer__entry
  0.00      4.80     0.00        1     0.00     0.00  camlBytes__copy_1226
  0.00      4.80     0.00        1     0.00     0.00  camlBytes__entry
  0.00      4.80     0.00        1     0.00     0.00  camlCallback__entry
  0.00      4.80     0.00        1     0.00     0.00  camlCallback__register_exception_1265
  0.00      4.80     0.00        1     0.00     0.00  camlCamlinternalFormatBasics__entry
  0.00      4.80     0.00        1     0.00     0.00  camlCamlinternalFormat__entry
  0.00      4.80     0.00        1     0.00     0.00  camlCamlinternalLazy__entry
  0.00      4.80     0.00        1     0.00     0.00  camlCamlinternalOO__entry
  0.00      4.80     0.00        1     0.00     0.00  camlChar__entry
  0.00      4.80     0.00        1     0.00     0.00  camlDigest__entry
  0.00      4.80     0.00        1     0.00     4.52  camlEvo_tkn__entry
  0.00      4.80     0.00        1     0.00     0.00  camlEvo_tkn__fun_2074
  0.00      4.80     0.00        1     0.00     0.00  camlEvo_tkn__fun_2076
  0.00      4.80     0.00        1     0.00     0.00  camlGc__entry
  0.00      4.80     0.00        1     0.00     0.00  camlHashtbl__create_inner_2188
  0.00      4.80     0.00        1     0.00     0.00  camlHashtbl__entry
  0.00      4.80     0.00        1     0.00     0.00  camlHashtbl__power_2_above_1333
  0.00      4.80     0.00        1     0.00     0.00  camlImp__entry
  0.00      4.80     0.00        1     0.00     0.00  camlInt32__entry
  0.00      4.80     0.00        1     0.00     0.00  camlInt64__entry
  0.00      4.80     0.00        1     0.00     0.00  camlList__entry
  0.00      4.80     0.00        1     0.00     0.00  camlMap__entry
  0.00      4.80     0.00        1     0.00     0.00  camlMarshal__entry
  0.00      4.80     0.00        1     0.00     0.00  camlNativeint__entry
  0.00      4.80     0.00        1     0.00     0.00  camlObj__entry
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__at_exit_1391
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__close_out_1236
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__entry
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__exit_1398
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__flush_all_1201
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__fun_1764
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__iter_1202
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__loop_1159
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__open_in_gen_1242
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__open_out_gen_1190
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__string_of_float_1161
  0.00      4.80     0.00        1     0.00     0.00  camlPervasives__valid_float_lexem_1156
  0.00      4.80     0.00        1     0.00     0.00  camlPrint__entry
  0.00      4.80     0.00        1     0.00     0.00  camlPrintexc__entry
  0.00      4.80     0.00        1     0.00     0.00  camlPrintexc__register_printer_1430
  0.00      4.80     0.00        1     0.00     0.00  camlPrintf__entry
  0.00      4.80     0.00        1     0.00     0.00  camlQueue__entry
  0.00      4.80     0.00        1     0.00     0.00  camlRandom__entry
  0.00      4.80     0.00        1     0.00     0.00  camlSet__entry
  0.00      4.80     0.00        1     0.00     0.00  camlString__contains_from_1375
  0.00      4.80     0.00        1     0.00     0.00  camlString__entry
  0.00      4.80     0.00        1     0.00     0.00  camlString__index_rec_1327
  0.00      4.80     0.00        1     0.00     0.00  camlSys__entry
  0.00      4.80     0.00        1     0.00     0.00  camlTy__entry
  0.00      4.80     0.00        1     0.00     0.03  camlTypes__entry
  0.00      4.80     0.00        1     0.00     0.00  camlTypes__rcd_cl_1591
  0.00      4.80     0.00        1     0.00     0.00  camlTypes__vsgn_1538
  0.00      4.80     0.00        1     0.00     0.00  camlUtil__entry
  0.00      4.80     0.00        1     0.00     0.00  camlUtil__open_in_close_1216
  0.00      4.80     0.00        1     0.00     0.00  camlUtil__open_out_close_1221
  0.00      4.80     0.00        1     0.00     0.00  camlWeak__entry
  0.00      4.80     0.00        1     0.00     0.00  caml_alloc_array
  0.00      4.80     0.00        1     0.00     0.00  caml_alloc_shr_no_raise
  0.00      4.80     0.00        1     0.00     0.00  caml_check_urgent_gc
  0.00      4.80     0.00        1     0.00     0.00  caml_classify_float
  0.00      4.80     0.00        1     0.00     0.00  caml_classify_float_unboxed
  0.00      4.80     0.00        1     0.00     0.00  caml_compact_heap
  0.00      4.80     0.00        1     0.00     0.00  caml_copy_string_array
  0.00      4.80     0.00        1     0.00     0.00  caml_cplugins_init
  0.00      4.80     0.00        1     0.00     0.00  caml_debugger_init
  0.00      4.80     0.00        1     0.00     0.00  caml_executable_name
  0.00      4.80     0.00        1     0.00     0.00  caml_ext_table_add
  0.00      4.80     0.00        1     0.00     0.00  caml_ext_table_init
  0.00      4.80     0.00        1     0.00     0.00  caml_finalize_channel
  0.00      4.80     0.00        1     0.00     0.00  caml_finish_major_cycle
  0.00      4.80     0.00        1     0.00     0.00  caml_format_float
  0.00      4.80     0.00        1     0.00     0.00  caml_free_for_heap
  0.00      4.80     0.00        1     0.00     0.00  caml_init_alloc_for_heap
  0.00      4.80     0.00        1     0.00     0.00  caml_init_atom_table
  0.00      4.80     0.00        1     0.00     0.00  caml_init_backtrace
  0.00      4.80     0.00        1     0.00     0.00  caml_init_custom_operations
  0.00      4.80     0.00        1     0.00     0.00  caml_init_frame_descriptors
  0.00      4.80     0.00        1     0.00     0.00  caml_init_gc
  0.00      4.80     0.00        1     0.00     0.00  caml_init_ieee_floats
  0.00      4.80     0.00        1     0.00     0.00  caml_init_major_heap
  0.00      4.80     0.00        1     0.00     0.00  caml_init_signals
  0.00      4.80     0.00        1     0.00     0.00  caml_input_val
  0.00      4.80     0.00        1     0.00     0.00  caml_input_val_core
  0.00      4.80     0.00        1     0.00     0.00  caml_input_value
  0.00      4.80     0.00        1     0.00     0.00  caml_ml_out_channels_list
  0.00      4.80     0.00        1     0.00     0.00  caml_normalize_heap_increment
  0.00      4.80     0.00        1     0.00     0.00  caml_obj_dup
  0.00      4.80     0.00        1     0.00     0.00  caml_obj_tag
  0.00      4.80     0.00        1     0.00     0.00  caml_output_val
  0.00      4.80     0.00        1     0.00     0.00  caml_output_value
  0.00      4.80     0.00        1     0.00     0.00  caml_page_table_initialize
  0.00      4.80     0.00        1     0.00     0.00  caml_page_table_remove
  0.00      4.80     0.00        1     0.00     0.00  caml_parse_header
  0.00      4.80     0.00        1     0.00     0.00  caml_parse_ocamlrunparam
  0.00      4.80     0.00        1     0.00     4.55  caml_program
  0.00      4.80     0.00        1     0.00     0.00  caml_read_fd
  0.00      4.80     0.00        1     0.00     0.00  caml_realloc_custom_table
  0.00      4.80     0.00        1     0.00     0.00  caml_realloc_ephe_ref_table
  0.00      4.80     0.00        1     0.00     0.00  caml_set_minor_heap_size
  0.00      4.80     0.00        1     0.00     0.00  caml_shrink_heap
  0.00      4.80     0.00        1     0.00     0.00  caml_startup_exn
  0.00      4.80     0.00        1     0.00     0.00  caml_sys_exit
  0.00      4.80     0.00        1     0.00     0.00  caml_sys_get_argv
  0.00      4.80     0.00        1     0.00     0.00  caml_sys_get_config
  0.00      4.80     0.00        1     0.00     0.00  caml_sys_init
  0.00      4.80     0.00        1     0.00     0.00  extern_replay_trail
  0.00      4.80     0.00        1     0.00     0.00  extern_value
  0.00      4.80     0.00        1     0.00     0.00  fill_hashtable
  0.00      4.80     0.00        1     0.00     0.00  hash_channel
  0.00      4.80     0.00        1     0.00     0.00  init_extern_output
  0.00      4.80     0.00        1     0.00     0.00  init_frame_descriptors
  0.00      4.80     0.00        1     0.00     0.00  intern_cleanup
  0.00      4.80     0.00        1     0.00     0.00  writecode32

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.21% of 4.80 seconds

index % time    self  children    called     name
                0.00    4.55       1/1           caml_start_program [2]
[1]     94.7    0.00    4.55       1         caml_program [1]
                0.00    4.52       1/1           camlEvo_tkn__entry [4]
                0.00    0.03       1/1           camlTypes__entry [23]
                0.00    0.00       1/1           camlTy__entry [49]
                0.00    0.00       1/1           camlCamlinternalFormatBasics__entry [207]
                0.00    0.00       1/1           camlPervasives__entry [229]
                0.00    0.00       1/1           camlList__entry [222]
                0.00    0.00       1/1           camlChar__entry [211]
                0.00    0.00       1/1           camlBytes__entry [204]
                0.00    0.00       1/1           camlString__entry [247]
                0.00    0.00       1/1           camlSys__entry [249]
                0.00    0.00       1/1           camlMarshal__entry [224]
                0.00    0.00       1/1           camlObj__entry [226]
                0.00    0.00       1/1           camlArray__entry [201]
                0.00    0.00       1/1           camlInt32__entry [220]
                0.00    0.00       1/1           camlInt64__entry [221]
                0.00    0.00       1/1           camlNativeint__entry [225]
                0.00    0.00       1/1           camlSet__entry [245]
                0.00    0.00       1/1           camlMap__entry [223]
                0.00    0.00       1/1           camlQueue__entry [243]
                0.00    0.00       1/1           camlCamlinternalLazy__entry [209]
                0.00    0.00       1/1           camlBuffer__entry [202]
                0.00    0.00       1/1           camlCamlinternalFormat__entry [208]
                0.00    0.00       1/1           camlPrintf__entry [242]
                0.00    0.00       1/1           camlPrintexc__entry [240]
                0.00    0.00       1/1           camlGc__entry [215]
                0.00    0.00       1/1           camlDigest__entry [212]
                0.00    0.00       1/1           camlRandom__entry [244]
                0.00    0.00       1/1           camlHashtbl__entry [217]
                0.00    0.00       1/1           camlWeak__entry [255]
                0.00    0.00       1/1           camlCallback__entry [205]
                0.00    0.00       1/1           camlCamlinternalOO__entry [210]
                0.00    0.00       1/1           camlArrayLabels__entry [200]
                0.00    0.00       1/1           camlUtil__entry [252]
                0.00    0.00       1/1           camlPrint__entry [239]
                0.00    0.00       1/1           camlImp__entry [219]
-----------------------------------------------
                                                 <spontaneous>
[2]     94.7    0.00    4.55                 caml_start_program [2]
                0.00    4.55       1/1           caml_program [1]
-----------------------------------------------
[3]     94.1    3.38    1.14       1+73546250 <cycle 1 as a whole> [3]
                1.81    0.00 40457535+124760190     camlImp__evo_nd_tkn_2219 <cycle 1> [5]
                0.63    1.02 7543043+6181548     camlImp__evo_tkn_2218 <cycle 1> [6]
                0.53    0.08 17286400+1187271     camlImp__f0_2266 <cycle 1> [8]
                0.42    0.05 8259273+33037092     camlImp__evo_nd_tkn_agl_2220 <cycle 1> [9]
-----------------------------------------------
                0.00    4.52       1/1           caml_program [1]
[4]     94.1    0.00    4.52       1         camlEvo_tkn__entry [4]
                3.38    1.14       1/1           camlImp__evo_tkn_2218 <cycle 1> [6]
                0.00    0.00       4/5           camlUtil__pnt_1204 [125]
                0.00    0.00       4/24          camlPervasives__$5e_1117 [97]
                0.00    0.00       2/2           caml_sys_time_include_children_unboxed [197]
                0.00    0.00       2/2           caml_sys_time_unboxed [198]
                0.00    0.00       2/2           camlPrint__print_tkn_s_2245 [168]
                0.00    0.00       1/1           camlUtil__open_in_close_1216 [253]
                0.00    0.00       1/1           camlUtil__open_out_close_1221 [254]
                0.00    0.00       1/1           camlPervasives__loop_1159 [234]
                0.00    0.00       1/1           camlPervasives__valid_float_lexem_1156 [238]
                0.00    0.00       1/1           camlPervasives__string_of_float_1161 [237]
                0.00    0.00       1/6           camlPervasives__output_string_1213 [115]
                0.00    0.00       1/1           camlPervasives__exit_1398 [230]
-----------------------------------------------
                             124760190             camlImp__evo_nd_tkn_2219 <cycle 1> [5]
                             8259273             camlImp__evo_nd_tkn_agl_2220 <cycle 1> [9]
